"pk","timestamp","confidence","price","version","quote","exchange","provider"
"doge#price","1713831583000","0.00019714","0.16072692","2","usd","pyth","pyth"
"doge#price","1713831583001","0.00018505","0.1607204","2","usd","pyth","pyth"
"doge#price","1713831583002","0.00018045","0.160725","2","usd","pyth","pyth"
"doge#price","1713831584000","0.00017594","0.160725","2","usd","pyth","pyth"
"doge#price","1713831585000","0.00018045","0.160725","2","usd","pyth","pyth"
"doge#price","1713831585001","0.00017628","0.16072504","2","usd","pyth","pyth"
"doge#price","1713831585002","0.0001683","0.16072473","2","usd","pyth","pyth"
"doge#price","1713831585003","0.00017884","0.16072661","2","usd","pyth","pyth"
"doge#price","1713831586000","0.0001788","0.16072665","2","usd","pyth","pyth"
"doge#price","1713831586001","0.00017487","0.1607258","2","usd","pyth","pyth"
"doge#price","1713831587000","0.00017668","0.1607258","2","usd","pyth","pyth"
"doge#price","1713831587001","0.00017492","0.16072855","2","usd","pyth","pyth"
"doge#price","1713831588000","0.00017366","0.16073179","2","usd","pyth","pyth"
"doge#price","1713831588001","0.00017264","0.16073083","2","usd","pyth","pyth"
"doge#price","1713831588002","0.00016249","0.16072929","2","usd","pyth","pyth"
"doge#price","1713831589000","0.00016141","0.16072998","2","usd","pyth","pyth"
"doge#price","1713831590000","0.00016108","0.16073031","2","usd","pyth","pyth"
"doge#price","1713831590001","0.00016872","0.16073364","2","usd","pyth","pyth"
"doge#price","1713831590002","0.00016761","0.16073475","2","usd","pyth","pyth"
"doge#price","1713831590003","0.00016836","0.160734","2","usd","pyth","pyth"
"doge#price","1713831591000","0.00016836","0.160734","2","usd","pyth","pyth"
"doge#price","1713831591001","0.00017023","0.16073378","2","usd","pyth","pyth"
"doge#price","1713831592000","0.00016078","0.16073243","2","usd","pyth","pyth"
"doge#price","1713831592001","0.00016029","0.16073292","2","usd","pyth","pyth"
"doge#price","1713831593000","0.00017023","0.16073314","2","usd","pyth","pyth"
"doge#price","1713831593001","0.00016746","0.16073083","2","usd","pyth","pyth"
"doge#price","1713831593002","0.00016638","0.16073191","2","usd","pyth","pyth"
"doge#price","1713831594000","0.00017059","0.16073278","2","usd","pyth","pyth"
"doge#price","1713831595000","0.00017108","0.16073229","2","usd","pyth","pyth"
"doge#price","1713831595001","0.00017063","0.16073322","2","usd","pyth","pyth"
"doge#price","1713831595002","0.00016901","0.16073278","2","usd","pyth","pyth"
"doge#price","1713831595003","0.00016857","0.16073322","2","usd","pyth","pyth"
"doge#price","1713831596000","0.0001855","0.1607345","2","usd","pyth","pyth"
"doge#price","1713831596001","0.00016414","0.160735","2","usd","pyth","pyth"
"doge#price","1713831597000","0.00016885","0.160735","2","usd","pyth","pyth"
"doge#price","1713831597001","0.00020359","0.16073811","2","usd","pyth","pyth"
"doge#price","1713831598000","0.0001691","0.16073475","2","usd","pyth","pyth"
"doge#price","1713831598001","0.00016213","0.16073729","2","usd","pyth","pyth"
"doge#price","1713831599000","0.00016656","0.16073729","2","usd","pyth","pyth"
"doge#price","1713831599001","0.00016656","0.16073729","2","usd","pyth","pyth"
"doge#price","1713831600000","0.00016587","0.16073479","2","usd","pyth","pyth"
"doge#price","1713831600001","0.00016569","0.16073816","2","usd","pyth","pyth"
"doge#price","1713831601000","0.00016192","0.16073929","2","usd","pyth","pyth"
"doge#price","1713831601001","0.00016083","0.1607397","2","usd","pyth","pyth"
"doge#price","1713831602000","0.00015924","0.16074129","2","usd","pyth","pyth"
"doge#price","1713831602001","0.00015595","0.1607479","2","usd","pyth","pyth"
"doge#price","1713831602002","0.00014899","0.16075486","2","usd","pyth","pyth"
"doge#price","1713831603000","0.00014737","0.16075648","2","usd","pyth","pyth"
"doge#price","1713831604000","0.00015332","0.16075857","2","usd","pyth","pyth"
"doge#price","1713831604001","0.00015564","0.16075625","2","usd","pyth","pyth"
"doge#price","1713831604002","0.00017214","0.16076107","2","usd","pyth","pyth"
"doge#price","1713831605000","0.00015626","0.16075563","2","usd","pyth","pyth"
"doge#price","1713831605001","0.00015","0.16075103","2","usd","pyth","pyth"
"doge#price","1713831606000","0.00015287","0.1607549","2","usd","pyth","pyth"
"doge#price","1713831606001","0.00014986","0.16075791","2","usd","pyth","pyth"
"doge#price","1713831607000","0.00014667","0.1607611","2","usd","pyth","pyth"
"doge#price","1713831607001","0.00014518","0.16076671","2","usd","pyth","pyth"
"doge#price","1713831607002","0.00014061","0.16077128","2","usd","pyth","pyth"
"doge#price","1713831608000","0.00015278","0.16078111","2","usd","pyth","pyth"
"doge#price","1713831609000","0.00014923","0.16078466","2","usd","pyth","pyth"
"doge#price","1713831609001","0.00017651","0.16079338","2","usd","pyth","pyth"
"doge#price","1713831609002","0.00017651","0.16079338","2","usd","pyth","pyth"
"doge#price","1713831609003","0.00014389","0.16079","2","usd","pyth","pyth"
"doge#price","1713831610000","0.00014389","0.16079","2","usd","pyth","pyth"
"doge#price","1713831610001","0.0001395","0.16078698","2","usd","pyth","pyth"
"doge#price","1713831611000","0.00013961","0.16078687","2","usd","pyth","pyth"
"doge#price","1713831611001","0.00014041","0.16079348","2","usd","pyth","pyth"
"doge#price","1713831612000","0.00013867","0.16079522","2","usd","pyth","pyth"
"doge#price","1713831612001","0.00015239","0.16079789","2","usd","pyth","pyth"
"doge#price","1713831612002","0.00014639","0.16080389","2","usd","pyth","pyth"
"doge#price","1713831613000","0.00012765","0.16080624","2","usd","pyth","pyth"
"doge#price","1713831614000","0.00013046","0.16080633","2","usd","pyth","pyth"
"doge#price","1713831614001","0.00012884","0.16080884","2","usd","pyth","pyth"
"doge#price","1713831614002","0.00018472","0.16081006","2","usd","pyth","pyth"
"doge#price","1713831614003","0.00018408","0.1608107","2","usd","pyth","pyth"
"doge#price","1713831615000","0.0001606","0.16081064","2","usd","pyth","pyth"
"doge#price","1713831615001","0.00015522","0.16081064","2","usd","pyth","pyth"
"doge#price","1713831616000","0.00015178","0.16081408","2","usd","pyth","pyth"
"doge#price","1713831616001","0.00015364","0.16081222","2","usd","pyth","pyth"
"doge#price","1713831617000","0.00017339","0.16082139","2","usd","pyth","pyth"
"doge#price","1713831617001","0.00016638","0.16082947","2","usd","pyth","pyth"
"doge#price","1713831618000","0.00016422","0.16083056","2","usd","pyth","pyth"
"doge#price","1713831618001","0.00016238","0.1608324","2","usd","pyth","pyth"
"doge#price","1713831619000","0.00016238","0.1608324","2","usd","pyth","pyth"
"doge#price","1713831619001","0.0001503","0.16083387","2","usd","pyth","pyth"
"doge#price","1713831619002","0.00014927","0.16083506","2","usd","pyth","pyth"
"doge#price","1713831619003","0.00014629","0.16084215","2","usd","pyth","pyth"
"doge#price","1713831620000","0.00015263","0.16084215","2","usd","pyth","pyth"
"doge#price","1713831620001","0.00015478","0.16084","2","usd","pyth","pyth"
"doge#price","1713831621000","0.0001518","0.16084298","2","usd","pyth","pyth"
"doge#price","1713831621001","0.00014975","0.16084503","2","usd","pyth","pyth"
"doge#price","1713831622000","0.00019252","0.160855","2","usd","pyth","pyth"
"doge#price","1713831622001","0.00017752","0.16087","2","usd","pyth","pyth"
"doge#price","1713831622002","0.00017633","0.16087","2","usd","pyth","pyth"
"doge#price","1713831623000","0.00017192","0.16087779","2","usd","pyth","pyth"
"doge#price","1713831623001","0.00013217","0.160875","2","usd","pyth","pyth"
"doge#price","1713831623002","0.00015585","0.16088503","2","usd","pyth","pyth"
"doge#price","1713831624000","0.00014089","0.16089999","2","usd","pyth","pyth"
"doge#price","1713831624001","0.00013959","0.16090129","2","usd","pyth","pyth"
"doge#price","1713831625000","0.00012524","0.16089999","2","usd","pyth","pyth"
"doge#price","1713831625001","0.00013757","0.16089999","2","usd","pyth","pyth"
"doge#price","1713831626000","0.00013707","0.16090253","2","usd","pyth","pyth"
"doge#price","1713831626001","0.00012462","0.16090175","2","usd","pyth","pyth"
"doge#price","1713831627000","0.00012236","0.16091149","2","usd","pyth","pyth"
"doge#price","1713831627001","0.00012898","0.16091149","2","usd","pyth","pyth"
"doge#price","1713831628000","0.00012931","0.16091182","2","usd","pyth","pyth"
"doge#price","1713831628001","0.00013527","0.16091778","2","usd","pyth","pyth"
"doge#price","1713831629000","0.00013218","0.16091469","2","usd","pyth","pyth"
"doge#price","1713831629001","0.00013607","0.16091858","2","usd","pyth","pyth"
